name	class	size
2022-02-18_run2_34C_A2_t004	ungerminated	3
2022-02-23_run1_26C_C3_t050	aborted	4
2022-02-23_run1_26C_C3_t050	burst	2
2022-02-23_run1_26C_C3_t050	germinated	10
2022-02-23_run1_26C_C3_t050	unknown_germinated	3
2022-02-24_run1_34C_C3_t000	germinated	2
2022-02-24_run1_34C_C3_t000	ungerminated	8
2022-03-04_run1_34C_A5_t076	burst	9
2022-03-07_run1_26C_B1_t064	aborted	1
2022-03-07_run1_26C_B1_t064	germinated	35
2022-03-07_run1_26C_B1_t064	unknown_germinated	4
2022-03-07_run1_26C_C2_t018	aborted	6
2022-03-07_run1_26C_C2_t018	germinated	54
2022-03-07_run1_26C_C2_t018	unknown_germinated	2
2022-03-07_run1_26C_D5_t059	aborted	2
2022-03-07_run1_26C_D5_t059	germinated	31
2022-03-07_run1_26C_D5_t059	ungerminated	2
2022-03-07_run1_26C_D5_t059	unknown_germinated	2
2022-03-08_run1_34C_D1_t028	burst	1
2022-03-08_run1_34C_D1_t028	germinated	18
2022-03-08_run1_34C_D1_t028	unknown_germinated	1
2022-03-08_run1_34C_D4_t079	aborted	1
2022-03-08_run1_34C_D4_t079	burst	10
2022-03-08_run1_34C_D4_t079	germinated	2
2022-03-08_run2_34C_D1_t043	burst	7
2022-03-08_run2_34C_D1_t043	germinated	11
2022-03-08_run2_34C_D1_t043	unknown_germinated	2
2022-03-09_run1_26C_B4_t079	germinated	17
2022-03-09_run1_26C_B4_t079	unknown_germinated	7
2022-03-11_run1_26C_B5_t000	ungerminated	15
2022-03-15_run1_26C_A5_t049	germinated	12
2022-03-15_run1_26C_A5_t049	ungerminated	3
2022-03-15_run1_26C_A5_t049	unknown_germinated	1
2022-03-15_run2_26C_C5_t041	germinated	30
2022-03-15_run2_26C_C5_t041	ungerminated	10
2022-03-15_run2_26C_C5_t041	unknown_germinated	2
2022-03-15_run2_26C_C6_t034	aborted	1
2022-03-15_run2_26C_C6_t034	germinated	28
2022-03-15_run2_26C_C6_t034	ungerminated	1
2022-03-15_run2_26C_C6_t034	unknown_germinated	3
2022-03-16_run1_34C_A1_t048	aborted	11
2022-03-16_run1_34C_A1_t048	burst	8
2022-03-16_run1_34C_A1_t048	germinated	15
2022-03-16_run1_34C_A1_t048	ungerminated	8
2022-03-16_run1_34C_B1_t052	aborted	1
2022-03-16_run1_34C_B1_t052	burst	17
2022-03-16_run1_34C_B1_t052	germinated	20
2022-03-16_run1_34C_B1_t052	unknown_germinated	3
2022-03-16_run1_34C_B2_t003	aborted	7
2022-03-16_run1_34C_B2_t003	ungerminated	12
2022-03-16_run2_34C_C4_t039	aborted	3
2022-03-16_run2_34C_C4_t039	burst	3
2022-03-16_run2_34C_C4_t039	germinated	6
2022-03-16_run2_34C_C4_t039	ungerminated	1
2022-03-16_run2_34C_C4_t039	unknown_germinated	1
2022-03-22_run1_34C_A6_t022	burst	4
2022-03-22_run1_34C_A6_t022	germinated	18
2022-03-22_run1_34C_A6_t022	unknown_germinated	2
2022-03-22_run1_34C_B4_t025	aborted	4
2022-03-22_run1_34C_B4_t025	burst	3
2022-03-22_run1_34C_B4_t025	germinated	14
2022-03-22_run1_34C_B4_t025	ungerminated	2
2022-03-22_run1_34C_B4_t025	unknown_germinated	1
2022-03-22_run2_34C_D1_t073	burst	9
2022-03-22_run2_34C_D1_t073	germinated	1
2022-03-22_run2_34C_D1_t073	unknown_germinated	1
2022-03-28_run1_34C_C5_t054	burst	14
2022-03-28_run1_34C_C5_t054	germinated	26
2022-03-28_run1_34C_C5_t054	unknown_germinated	16
2022-03-29_run1_26C_B6_t054	aborted	1
2022-03-29_run1_26C_B6_t054	germinated	29
2022-03-29_run1_26C_B6_t054	ungerminated	4
2022-03-29_run1_26C_B6_t054	unknown_germinated	3
2022-03-30_run2_34C_C1_t064	burst	22
2022-03-30_run2_34C_C1_t064	germinated	4
2022-04-05_run1_34C_B6_t029	burst	35
2022-04-05_run1_34C_B6_t029	germinated	31
2022-04-05_run1_34C_B6_t029	ungerminated	17
2022-04-05_run1_34C_B6_t029	unknown_germinated	7
2022-04-07_run1_34C_B4_t011	aborted	4
2022-04-07_run1_34C_B4_t011	germinated	78
2022-04-07_run1_34C_B4_t011	ungerminated	8
2022-04-07_run1_34C_B4_t011	unknown_germinated	1
2022-04-07_run2_34C_A1_t054	burst	18
2022-04-07_run2_34C_A1_t054	germinated	2
2022-04-07_run2_34C_D2_t014	germinated	15
2022-04-07_run2_34C_D2_t014	ungerminated	2
2022-04-08_run1_26C_B4_t038	aborted	27
2022-04-08_run1_26C_B4_t038	germinated	31
2022-04-08_run1_26C_B4_t038	ungerminated	22
2022-04-08_run1_26C_B4_t038	unknown_germinated	1
2022-04-11_run2_26C_D4_t022	aborted	2
2022-04-11_run2_26C_D4_t022	germinated	43
2022-04-11_run2_26C_D4_t022	ungerminated	5
2022-04-11_run2_26C_D4_t022	unknown_germinated	2
2022-04-12_run1_34C_A4_t032	aborted	17
2022-04-12_run1_34C_A4_t032	burst	3
2022-04-12_run1_34C_A4_t032	germinated	15
2022-04-12_run1_34C_A4_t032	ungerminated	10
2022-04-12_run1_34C_D3_t075	aborted	1
2022-04-12_run1_34C_D3_t075	burst	7
2022-04-12_run1_34C_D3_t075	germinated	12
2022-04-13_run1_26C_A1_t055	aborted	15
2022-04-13_run1_26C_A1_t055	burst	2
2022-04-13_run1_26C_A1_t055	germinated	9
2022-04-13_run1_26C_A1_t055	ungerminated	10
2022-04-13_run1_26C_A1_t055	unknown_germinated	2
2022-04-15_run1_34C_C4_t061	aborted	2
2022-04-15_run1_34C_C4_t061	burst	16
2022-04-15_run1_34C_C4_t061	germinated	41
2022-04-15_run1_34C_C4_t061	ungerminated	5
2022-04-15_run1_34C_C4_t061	unknown_germinated	11
2022-04-21_run2_34C_A3_t005	germinated	16
2022-04-21_run2_34C_A3_t005	ungerminated	6
2022-04-22_run1_26C_B3_t014	germinated	29
2022-04-22_run1_26C_B3_t014	ungerminated	1
2022-04-22_run2_26C_C5_t064	aborted	2
2022-04-22_run2_26C_C5_t064	burst	10
2022-04-22_run2_26C_C5_t064	germinated	52
2022-04-22_run2_26C_C5_t064	unknown_germinated	19
2022-04-25_run1_34C_C6_t081	burst	16
2022-04-25_run1_34C_C6_t081	unknown_germinated	1
2022-04-26_run2_26C_B5_t080	aborted	1
2022-04-26_run2_26C_B5_t080	burst	2
2022-04-26_run2_26C_B5_t080	germinated	16
2022-04-26_run2_26C_B5_t080	unknown_germinated	9
2022-04-28_run2_34C_A2_t022	aborted	1
2022-04-28_run2_34C_A2_t022	burst	2
2022-04-28_run2_34C_A2_t022	germinated	19
2022-04-28_run2_34C_A2_t022	ungerminated	2
2022-04-28_run2_34C_A2_t022	unknown_germinated	2
2022-04-29_run1_26C_C1_t013	aborted	1
2022-04-29_run1_26C_C1_t013	germinated	34
2022-04-29_run1_26C_C1_t013	ungerminated	17
2022-04-29_run1_26C_C1_t013	unknown_germinated	2
2022-04-29_run2_26C_B5_t018	germinated	34
2022-04-29_run2_26C_B5_t018	ungerminated	8
2022-05-03_run2_34C_C4_t047	burst	1
2022-05-03_run2_34C_C4_t047	germinated	17
2022-05-03_run2_34C_C4_t047	ungerminated	1
2022-05-03_run2_34C_C4_t047	unknown_germinated	2
2022-05-05_run2_34C_D5_t044	burst	9
2022-05-05_run2_34C_D5_t044	germinated	55
2022-05-05_run2_34C_D5_t044	unknown_germinated	7
2022-05-09_run1_26C_C1_t019	aborted	9
2022-05-09_run1_26C_C1_t019	germinated	40
2022-05-09_run1_26C_C1_t019	ungerminated	9
2022-05-09_run1_26C_C1_t019	unknown_germinated	1
2022-05-09_run1_26C_C6_t070	burst	1
2022-05-09_run1_26C_C6_t070	germinated	42
2022-05-09_run1_26C_C6_t070	ungerminated	4
2022-05-09_run1_26C_C6_t070	unknown_germinated	7
2022-05-09_run2_26C_A1_t010	germinated	13
2022-05-09_run2_26C_A1_t010	ungerminated	7
2022-05-09_run2_26C_A1_t010	unknown_germinated	1
2022-05-09_run2_26C_A5_t081	burst	1
2022-05-09_run2_26C_A5_t081	germinated	22
2022-05-09_run2_26C_A5_t081	unknown_germinated	2
2022-05-10_run1_34C_C4_t076	aborted	4
2022-05-10_run1_34C_C4_t076	burst	12
2022-05-10_run1_34C_C4_t076	germinated	2
2022-05-10_run1_34C_C4_t076	ungerminated	2
2022-05-10_run1_34C_D5_t053	burst	20
2022-05-29_run1_26C_B1_t063	aborted	12
2022-05-29_run1_26C_B1_t063	burst	3
2022-05-29_run1_26C_B1_t063	germinated	131
2022-05-29_run1_26C_B1_t063	unknown_germinated	19
2022-05-30_run1_34C_A1_t055	aborted	5
2022-05-30_run1_34C_A1_t055	burst	5
2022-05-30_run1_34C_A1_t055	germinated	4
2022-05-30_run1_34C_A1_t055	ungerminated	9
2022-05-30_run1_34C_A1_t055	unknown_germinated	1
2022-05-30_run1_34C_C6_t050	aborted	1
2022-05-30_run1_34C_C6_t050	burst	40
2022-05-30_run1_34C_C6_t050	ungerminated	1
2022-05-30_run1_34C_C6_t050	unknown_germinated	3
2022-05-30_run2_34C_B4_t050	aborted	5
2022-05-30_run2_34C_B4_t050	burst	90
2022-05-30_run2_34C_B4_t050	germinated	2
2022-05-30_run2_34C_B4_t050	ungerminated	9
2022-05-30_run2_34C_B4_t050	unknown_germinated	9
2022-05-30_run2_34C_D1_t061	aborted	7
2022-05-30_run2_34C_D1_t061	burst	11
2022-05-30_run2_34C_D1_t061	germinated	73
2022-05-30_run2_34C_D1_t061	ungerminated	1
2022-05-30_run2_34C_D1_t061	unknown_germinated	11
2022-05-30_run3_34C_B1_t006	aborted	1
2022-05-30_run3_34C_B1_t006	germinated	36
2022-05-30_run3_34C_B1_t006	ungerminated	4
2022-05-30_run3_34C_B1_t006	unknown_germinated	1
2022-05-30_run3_34C_B2_t053	aborted	2
2022-05-30_run3_34C_B2_t053	burst	13
2022-05-30_run3_34C_B2_t053	germinated	18
2022-05-30_run3_34C_B2_t053	unknown_germinated	4
2022-05-30_run3_34C_C6_t007	aborted	12
2022-05-30_run3_34C_C6_t007	burst	2
2022-05-30_run3_34C_C6_t007	germinated	13
2022-05-30_run3_34C_C6_t007	ungerminated	22
2022-05-30_run3_34C_C6_t007	unknown_germinated	1
2022-05-31_run1_26C_D2_t061	aborted	3
2022-05-31_run1_26C_D2_t061	germinated	21
2022-05-31_run1_26C_D2_t061	ungerminated	5
2022-05-31_run1_26C_D2_t061	unknown_germinated	2
2022-05-31_run2_26C_C6_t054	burst	1
2022-05-31_run2_26C_C6_t054	germinated	44
2022-05-31_run2_26C_C6_t054	unknown_germinated	4
2022-05-31_run3_26C_A3_t007	aborted	14
2022-05-31_run3_26C_A3_t007	germinated	22
2022-05-31_run3_26C_A3_t007	ungerminated	42
2022-05-31_run3_26C_A3_t007	unknown_germinated	1
2022-05-31_run3_26C_A5_t063	aborted	4
2022-05-31_run3_26C_A5_t063	burst	4
2022-05-31_run3_26C_A5_t063	germinated	24
2022-05-31_run3_26C_A5_t063	unknown_germinated	4
2022-05-31_run3_26C_B2_t006	aborted	2
2022-05-31_run3_26C_B2_t006	germinated	39
2022-05-31_run3_26C_B2_t006	ungerminated	21
2022-05-31_run3_26C_B2_t006	unknown_germinated	4
2022-05-31_run3_26C_C4_t058	aborted	1
2022-05-31_run3_26C_C4_t058	burst	2
2022-05-31_run3_26C_C4_t058	germinated	60
2022-05-31_run3_26C_C4_t058	ungerminated	1
2022-05-31_run3_26C_C4_t058	unknown_germinated	3
2022-06-01_run1_34C_A5_t053	aborted	1
2022-06-01_run1_34C_A5_t053	burst	2
2022-06-01_run1_34C_A5_t053	germinated	8
2022-06-01_run1_34C_A5_t053	unknown_germinated	1
2022-06-01_run2_34C_D2_t034	germinated	28
2022-06-01_run2_34C_D2_t034	unknown_germinated	5
2022-06-02_run1_26C_A3_t041	aborted	21
2022-06-02_run1_26C_A3_t041	germinated	20
2022-06-02_run1_26C_A3_t041	ungerminated	4
2022-06-02_run1_26C_D5_t040	germinated	25
2022-06-02_run1_26C_D5_t040	unknown_germinated	1
2022-06-02_run2_26C_A1_t038	aborted	6
2022-06-02_run2_26C_A1_t038	germinated	26
2022-06-02_run2_26C_A1_t038	ungerminated	11
2022-06-02_run2_26C_C2_t003	aborted	3
2022-06-02_run2_26C_C2_t003	germinated	20
2022-06-02_run2_26C_C2_t003	ungerminated	35
2022-06-02_run3_26C_C6_t042	aborted	3
2022-06-02_run3_26C_C6_t042	burst	2
2022-06-02_run3_26C_C6_t042	germinated	30
2022-06-02_run3_26C_C6_t042	ungerminated	5
2022-06-02_run3_26C_D3_t033	germinated	12
2022-06-02_run3_26C_D3_t033	ungerminated	1
2022-06-03_run2_34C_A3_t032	burst	2
2022-06-03_run2_34C_A3_t032	germinated	11
2022-06-03_run2_34C_A3_t032	ungerminated	1
2022-06-03_run2_34C_A3_t032	unknown_germinated	4
2022-06-05_run3_34C_B3_t031	aborted	11
2022-06-05_run3_34C_B3_t031	burst	21
2022-06-05_run3_34C_B3_t031	germinated	33
2022-06-05_run3_34C_B3_t031	ungerminated	10
2022-06-06_run2_26C_A5_t002	ungerminated	27
2022-06-07_run2_34C_B1_t010	aborted	2
2022-06-07_run2_34C_B1_t010	burst	4
2022-06-07_run2_34C_B1_t010	germinated	30
2022-06-07_run2_34C_B1_t010	ungerminated	1
2022-06-07_run2_34C_B2_t026	aborted	1
2022-06-07_run2_34C_B2_t026	burst	1
2022-06-07_run2_34C_B2_t026	germinated	49
2022-06-07_run2_34C_B2_t026	ungerminated	4
2022-06-07_run2_34C_B2_t026	unknown_germinated	3
2022-06-09_run2_34C_A4_t065	aborted	8
2022-06-09_run2_34C_A4_t065	burst	55
2022-06-09_run2_34C_A4_t065	germinated	17
2022-06-09_run2_34C_A4_t065	ungerminated	14
2022-06-09_run2_34C_A4_t065	unknown_germinated	1
2022-06-10_run1_26C_C4_t030	aborted	7
2022-06-10_run1_26C_C4_t030	germinated	30
2022-06-10_run1_26C_C4_t030	ungerminated	2
2022-06-10_run1_26C_C5_t047	aborted	1
2022-06-10_run1_26C_C5_t047	burst	2
2022-06-10_run1_26C_C5_t047	germinated	43
2022-06-10_run1_26C_C5_t047	ungerminated	3
2022-06-10_run1_26C_C5_t047	unknown_germinated	2
2022-06-12_run1_34C_A5_t065	aborted	7
2022-06-12_run1_34C_A5_t065	burst	33
2022-06-12_run1_34C_A5_t065	germinated	4
2022-06-12_run1_34C_A5_t065	ungerminated	4
2022-06-12_run1_34C_A5_t065	unknown_germinated	2
2022-06-13_run1_26C_A2_t033	aborted	19
2022-06-13_run1_26C_A2_t033	burst	1
2022-06-13_run1_26C_A2_t033	germinated	13
2022-06-13_run1_26C_A2_t033	ungerminated	17
2022-06-13_run3_26C_B2_t063	aborted	42
2022-06-13_run3_26C_B2_t063	burst	2
2022-06-13_run3_26C_B2_t063	germinated	13
2022-06-13_run3_26C_B2_t063	ungerminated	6
2022-06-13_run3_26C_B2_t063	unknown_germinated	3
2022-06-15_run1_26C_C2_t062	aborted	17
2022-06-15_run1_26C_C2_t062	germinated	36
2022-06-15_run1_26C_C2_t062	ungerminated	3
2022-06-15_run1_26C_C2_t062	unknown_germinated	3
2022-06-15_run1_26C_C6_t008	aborted	31
2022-06-15_run1_26C_C6_t008	burst	1
2022-06-15_run1_26C_C6_t008	germinated	4
2022-06-15_run1_26C_C6_t008	ungerminated	49
2022-06-15_run1_26C_D3_t024	aborted	2
2022-06-15_run1_26C_D3_t024	germinated	19
2022-06-15_run2_26C_C2_t053	aborted	7
2022-06-15_run2_26C_C2_t053	burst	1
2022-06-15_run2_26C_C2_t053	germinated	73
2022-06-15_run2_26C_C2_t053	ungerminated	3
2022-06-15_run2_26C_C2_t053	unknown_germinated	10
